team1,team2,toss_winner,toss_decision,winner,venue
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,Sawai Mansingh Stadium
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,M Chinnaswamy Stadium
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
Kochi Tuskers Kerala,Pune Warriors,Kochi Tuskers Kerala,bat,Pune Warriors,Dr DY Patil Sports Academy
Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Sawai Mansingh Stadium
Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,Wankhede Stadium
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal"
Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Dr DY Patil Sports Academy
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens
Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,Nehru Stadium
Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,Feroz Shah Kotla
Pune Warriors,Mumbai Indians,Pune Warriors,bat,Mumbai Indians,Wankhede Stadium
Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Kochi Tuskers Kerala,Eden Gardens
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,Wankhede Stadium
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Eden Gardens
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Delhi Daredevils,Feroz Shah Kotla
Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal"
Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium
Chennai Super Kings,Pune Warriors,Pune Warriors,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Feroz Shah Kotla
Pune Warriors,Chennai Super Kings,Pune Warriors,bat,Chennai Super Kings,Dr DY Patil Sports Academy
Deccan Chargers,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Deccan Chargers,Nehru Stadium
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Kolkata Knight Riders,Feroz Shah Kotla
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium
Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Delhi Daredevils,Kochi Tuskers Kerala,Delhi Daredevils,bat,Delhi Daredevils,Nehru Stadium
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens
Pune Warriors,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,Wankhede Stadium
Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,Feroz Shah Kotla
Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal"
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Mumbai Indians,Pune Warriors,Pune Warriors,field,Mumbai Indians,Dr DY Patil Sports Academy
Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Kochi Tuskers Kerala,Nehru Stadium
Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal"
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,Eden Gardens
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,Wankhede Stadium
Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,M Chinnaswamy Stadium
Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,Pune Warriors,"Punjab Cricket Association Stadium, Mohali"
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,Sawai Mansingh Stadium
Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal"
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Sawai Mansingh Stadium
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Holkar Cricket Stadium
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,Wankhede Stadium
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium
Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,Holkar Cricket Stadium
Pune Warriors,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,Dr DY Patil Sports Academy
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium
Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Dr DY Patil Sports Academy
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,Wankhede Stadium
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Deccan Chargers,Himachal Pradesh Cricket Association Stadium
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Eden Gardens
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Wankhede Stadium
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk"
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,"MA Chidambaram Stadium, Chepauk"
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Eden Gardens
Pune Warriors,Mumbai Indians,Mumbai Indians,field,Pune Warriors,Wankhede Stadium
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,Sawai Mansingh Stadium
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,Sawai Mansingh Stadium
Pune Warriors,Kings XI Punjab,Pune Warriors,bat,Pune Warriors,Subrata Roy Sahara Stadium
Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,M Chinnaswamy Stadium
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Feroz Shah Kotla
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,Wankhede Stadium
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders,Eden Gardens
Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,Feroz Shah Kotla
Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,Pune Warriors,Subrata Roy Sahara Stadium
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,Eden Gardens
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,M Chinnaswamy Stadium
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Wankhede Stadium
Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,Sawai Mansingh Stadium
Pune Warriors,Royal Challengers Bangalore,Pune Warriors,bat,Royal Challengers Bangalore,M Chinnaswamy Stadium
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali"
Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal"
Chennai Super Kings,Pune Warriors,Pune Warriors,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali"
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,Pune Warriors,Feroz Shah Kotla
Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,Wankhede Stadium
Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Barabati Stadium
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,Sawai Mansingh Stadium
Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Delhi Daredevils,Subrata Roy Sahara Stadium
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali"
Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Deccan Chargers,Subrata Roy Sahara Stadium
Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Delhi Daredevils,Feroz Shah Kotla
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk"
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,Eden Gardens
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,Feroz Shah Kotla
Deccan Chargers,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk"
Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Deccan Chargers,Barabati Stadium
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Delhi Daredevils,Sawai Mansingh Stadium
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,M Chinnaswamy Stadium
Mumbai Indians,Pune Warriors,Mumbai Indians,bat,Mumbai Indians,Subrata Roy Sahara Stadium
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders,Eden Gardens
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali"
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium
Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,Feroz Shah Kotla
Pune Warriors,Rajasthan Royals,Pune Warriors,bat,Rajasthan Royals,Subrata Roy Sahara Stadium
Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal"
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Wankhede Stadium
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Sawai Mansingh Stadium
Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore,Subrata Roy Sahara Stadium
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,Eden Gardens
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,Rajasthan Royals,Sawai Mansingh Stadium
Deccan Chargers,Kings XI Punjab,Deccan Chargers,bat,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,M Chinnaswamy Stadium
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Eden Gardens
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,Delhi Daredevils,Feroz Shah Kotla
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,Wankhede Stadium
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,Feroz Shah Kotla
Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium
Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders,Subrata Roy Sahara Stadium
Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,Sawai Mansingh Stadium
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,Subrata Roy Sahara Stadium
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,M Chinnaswamy Stadium
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk"
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Rajasthan Royals,Feroz Shah Kotla
Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,"MA Chidambaram Stadium, Chepauk"
Pune Warriors,Kings XI Punjab,Pune Warriors,bat,Kings XI Punjab,Subrata Roy Sahara Stadium
Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,Sawai Mansingh Stadium
Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali"
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,Pune Warriors,Subrata Roy Sahara Stadium
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,Feroz Shah Kotla
Mumbai Indians,Pune Warriors,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,Eden Gardens
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium
Pune Warriors,Chennai Super Kings,Pune Warriors,bat,Pune Warriors,"MA Chidambaram Stadium, Chepauk"
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,Sunrisers Hyderabad,Subrata Roy Sahara Stadium
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,Sawai Mansingh Stadium
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,Feroz Shah Kotla
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,Eden Gardens
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils,Feroz Shah Kotla
Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,Eden Gardens
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,Eden Gardens
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,Sawai Mansingh Stadium
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Delhi Daredevils,Pune Warriors,Pune Warriors,field,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium
Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium
Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,Chennai Super Kings,Subrata Roy Sahara Stadium
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Subrata Roy Sahara Stadium
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders,Eden Gardens
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,M Chinnaswamy Stadium
Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium
Pune Warriors,Rajasthan Royals,Pune Warriors,bat,Rajasthan Royals,Sawai Mansingh Stadium
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,M Chinnaswamy Stadium
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,Sawai Mansingh Stadium
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal"
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali"
Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders,Subrata Roy Sahara Stadium
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,Feroz Shah Kotla
Pune Warriors,Mumbai Indians,Pune Warriors,bat,Mumbai Indians,Subrata Roy Sahara Stadium
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali"
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,JSCA International Stadium Complex
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Feroz Shah Kotla
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,Wankhede Stadium
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,Pune Warriors,JSCA International Stadium Complex
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,Wankhede Stadium
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium
Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Pune Warriors,Subrata Roy Sahara Stadium
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,Feroz Shah Kotla
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,Feroz Shah Kotla
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,Eden Gardens
Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,Eden Gardens
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,Sheikh Zayed Stadium
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Sharjah Cricket Stadium
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Kings XI Punjab,Sheikh Zayed Stadium
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sheikh Zayed Stadium
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Dubai International Cricket Stadium
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,Dubai International Cricket Stadium
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Sharjah Cricket Stadium
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,Sheikh Zayed Stadium
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kings XI Punjab,Sharjah Cricket Stadium
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,Dubai International Cricket Stadium
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,Sharjah Cricket Stadium
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Dubai International Cricket Stadium
Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,Dubai International Cricket Stadium
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sheikh Zayed Stadium
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,Sheikh Zayed Stadium
Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils,Sharjah Cricket Stadium
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,Sharjah Cricket Stadium
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Dubai International Cricket Stadium
